mondo_id,mondo_label,mesh_id
MONDO_0000463,Ochoa syndrome,C536480
MONDO_0000465,atrioventricular block,D054537
MONDO_0000476,generalized dystonia,D004422
MONDO_0000485,spasmodic dystonia,D055154
MONDO_0000495,oppositional defiant disorder,D019958
MONDO_0000497,pyometritis,D055112
MONDO_0000501,obsolete Jensen syndrome,C537568
MONDO_0000502,villous adenoma,D018253
MONDO_0000510,synucleinopathy,D000080874
MONDO_0000583,immunoglobulin beta deficiency,C567200
MONDO_0000594,pervasive developmental disorder,D002659
MONDO_0000596,paraphilic disorder,D010262
MONDO_0000597,Munchausen by proxy,D016735
MONDO_0000598,aphasia,D001037
MONDO_0000607,primary cutaneous T-cell non-Hodgkin lymphoma,D016410
MONDO_0000608,familial juvenile hyperuricemic nephropathy,C537696
MONDO_0000610,marantic endocarditis,D059905
MONDO_0000651,obsolete thoracic disorder,D013896
MONDO_0000665,apraxia,D001072
MONDO_0000686,alexia without agraphia,D020237
MONDO_0000687,diffuse alopecia areata,C531609
MONDO_0000690,body dysmorphic disorder,D057215
MONDO_0000694,seasonal affective disorder,D016574
MONDO_0000701,ischemic colitis,D017091
MONDO_0000702,microscopic colitis,D046728
MONDO_0000703,collagenous colitis,D046729
MONDO_0000704,lymphocytic colitis,D046730
MONDO_0000705,Clostridium difficile colitis,D004761
MONDO_0000709,Crohn ileitis,D007079
MONDO_0000716,agraphia,D000381
MONDO_0000722,non-syndromic synpolydactyly,C538153
MONDO_0000727,scapuloperoneal myopathy,C536624
MONDO_0000728,ptosis,D001763
MONDO_0000736,dyschromatosis universalis hereditaria,C535730
MONDO_0000743,oral hairy leukoplakia,D017733
MONDO_0000744,lung abscess,D008169
MONDO_0000745,cardiac arrest,D006323
MONDO_0000746,obsolete inguinal hernia,D006552
MONDO_0000747,obsolete umbilical hernia,D006554
MONDO_0000748,mastoiditis,D008417
MONDO_0000754,anal fistula,D012003
MONDO_0000755,ectopic pregnancy,D011271
MONDO_0000758,bacillary angiomatosis,D016917
MONDO_0000770,obsolete shellfish allergy,D000067208
MONDO_0000775,drug allergy,D004342
MONDO_0000807,latex allergy,D020315
MONDO_0000809,purpura fulminans,D055665
MONDO_0000811,anomalous left coronary artery from the pulmonary artery,D063748
MONDO_0000812,vertebral column disorder,D013122
MONDO_0000813,cardiac tuberculosis,D014381
MONDO_0000816,abdominal obesity-metabolic syndrome,C535554
MONDO_0000819,anencephaly,D000757
MONDO_0000827,salmonellosis,D012480
MONDO_0000831,thrombotic disease,D013927
MONDO_0000837,bone resorption disease,D001862
MONDO_0000839,obsolete congenital abnormality,D000013
MONDO_0000845,fibrous dysplasia,D005357
MONDO_0000859,spina bifida occulta,D016136
MONDO_0000863,"myopathy, lactic acidosis, and sideroblastic anemia",C536101
MONDO_0000866,obsolete hereditary myoglobinuria,D009212
MONDO_0000878,cytomegalovirus retinitis,D017726
MONDO_0000879,cutaneous candidiasis,D002179
MONDO_0000889,haemophilus meningitis,D008583
MONDO_0000890,Zika virus congenital syndrome,D000071243
MONDO_0000902,agenesis of the corpus callosum with peripheral neuropathy,C536446
MONDO_0000903,myoclonus-dystonia syndrome,C536096
MONDO_0000910,retinitis pigmentosa 6,C564065
MONDO_0000911,obsolete dilated cardiomyopathy 1T,C566052
MONDO_0000912,autosomal recessive nonsyndromic hearing loss 5,C563444
MONDO_0000914,"cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1",D046589
MONDO_0000918,endometritis,D004716
MONDO_0000920,duodenum cancer,D004379
MONDO_0000922,pelvic inflammatory disease,D000292
MONDO_0000925,hyperlucent lung,D019568
MONDO_0000936,syphilitic meningitis,C536775
MONDO_0000940,trypanosomiasis,D014352
MONDO_0000942,corneal disorder,D003316
MONDO_0000945,venous insufficiency,D014689
MONDO_0000948,xerophthalmia,D014985
MONDO_0000950,asthenopia,D001248
MONDO_0000958,neuroretinitis,D012173
MONDO_0000960,diabetic peripheral angiopathy,D003925
MONDO_0000979,pinta disease,D010874
MONDO_0000983,exhibitionism,D005084
MONDO_0000984,thalassemia,D013789
MONDO_0000986,pleurisy,D010998
MONDO_0000989,mumps infectious disease,D009107
MONDO_0000989,mumps infectious disease,D019351
MONDO_0000995,familial periodic paralysis,D010245
MONDO_0001001,baritosis,C537080
MONDO_0001008,blepharophimosis,D016569
MONDO_0001011,breast cyst,D047688
MONDO_0001020,amblyopia,D000550
MONDO_0001023,prolymphocytic leukemia,D015463
MONDO_0001029,Klippel-Feil syndrome,D007714
MONDO_0001039,tonsillitis,D014069
MONDO_0001040,nasopharyngitis,D009304
MONDO_0001044,esophageal atresia,D004933
MONDO_0001045,intestinal atresia,D007409
MONDO_0001046,imperforate anus,D001006
MONDO_0001068,osteomalacia,D010018
MONDO_0001071,intellectual disability,D008607
MONDO_0001075,steatorrhea,D045602
MONDO_0001076,glucose intolerance,D018149
MONDO_0001078,tropical sprue,D013182
MONDO_0001083,Fanconi renotubular syndrome,D005198
MONDO_0001085,interstitial nephritis,D009395
MONDO_0001087,schizotypal personality disorder,D012569
MONDO_0001098,separation anxiety disorder,D001010
MONDO_0001099,lactocele,C535998
MONDO_0001103,giardiasis,D005873
MONDO_0001105,renal hypertension,D006977
MONDO_0001106,kidney failure,D051437
MONDO_0001109,petrositis,D059270
MONDO_0001116,mesenteric lymphadenitis,D008640
MONDO_0001117,methemoglobinemia,D008708
MONDO_0001119,premature menopause,D008594
MONDO_0001121,frontal sinusitis,D015522
MONDO_0001126,gastric ulcer,D013276
MONDO_0001132,sexual sadism disorder,D012448
MONDO_0001134,essential hypertension,D000075222
MONDO_0001135,voyeurism,D014843
MONDO_0001139,sexual masochism disorder,D008398
MONDO_0001142,salivary gland disorder,D012466
MONDO_0001147,meningocele,D008588
MONDO_0001149,microcephaly,D008831
MONDO_0001150,hydrocephalus,D006849
MONDO_0001153,obsolete gender dysphoria,D000068116
MONDO_0001156,borderline personality disorder,D001883
MONDO_0001157,dependent personality disorder,D003859
MONDO_0001158,obsessive-compulsive personality disorder,D003193
MONDO_0001159,multiple personality disorder,D009105
MONDO_0001160,dissociative disorder,D004213
MONDO_0001161,schizoid personality disorder,D012557
MONDO_0001163,paranoid personality disorder,D010260
MONDO_0001164,antisocial personality disorder,D000987
MONDO_0001165,tongue disorder,D014060
MONDO_0001166,nephritis,D009393
MONDO_0001167,spastic diplegia,C537945
MONDO_0001170,hemiplegia,D006429
MONDO_0001176,lens disorder,D007905
MONDO_0001177,anorectal stricture,C537771
MONDO_0001179,pinguecula,D059407
MONDO_0001196,psychologic dyspareunia,D004414
MONDO_0001209,common wart,D014860
MONDO_0001210,enophthalmos,D015841
MONDO_0001220,hypoparathyroidism,D007011
MONDO_0001221,esophageal varices,D004932
MONDO_0001223,parathyroid gland disorder,D010279
MONDO_0001236,appendiceal neoplasm,D001063
MONDO_0001240,neonatal anemia,D000751
MONDO_0001243,disseminated intravascular coagulation,D004211
MONDO_0001244,vitamin K deficiency hemorrhagic disease,D014813
MONDO_0001247,social phobia,D000072861
MONDO_0001249,trachoma,D014141
MONDO_0001250,keratomalacia,C536156
MONDO_0001256,arteriovenous hemangioma/malformation,D001165
MONDO_0001266,erysipelas,D004886
MONDO_0001268,gingival recession,D005889
MONDO_0001269,scleral disorder,D015422
MONDO_0001271,lens subluxation,D007906
MONDO_0001273,megacolon,D008531
MONDO_0001280,choroiditis,D002833
MONDO_0001286,exotropia,D005099
MONDO_0001292,autonomic nervous system disorder,D001342
MONDO_0001294,Horner syndrome,D006732
MONDO_0001297,cardiac tamponade,D002305
MONDO_0001298,congenital mitral valve insufficiency,D008944
MONDO_0001301,rumination disorder,D019959
MONDO_0001305,laryngostenosis,D007829
MONDO_0001314,chondrocalcinosis,D002805
MONDO_0001315,neurocirculatory asthenia,D009449
MONDO_0001324,obsolete hyperandrogenism,D017588
MONDO_0001326,dental pulp necrosis,D003790
MONDO_0001328,thyroid hormone resistance syndrome,D018382
MONDO_0001330,presbyopia,D011305
MONDO_0001332,palindromic rheumatism,C538103
MONDO_0001336,familial hyperlipidemia,D006949
MONDO_0001340,heart cancer,D006338
MONDO_0001341,selective IgA deficiency disease,D017098
MONDO_0001342,dysgammaglobulinemia,D004406
MONDO_0001347,facioscapulohumeral muscular dystrophy,D020391
MONDO_0001356,iron deficiency anemia,D018798
MONDO_0001358,bronchial disorder,D001982
MONDO_0001370,pericardial effusion,D010490
MONDO_0001371,protein-energy malnutrition,D011502
MONDO_0001382,hepatorenal syndrome,D006530
MONDO_0001383,degenerative myopia,D047728
MONDO_0001384,myopia,D009216
MONDO_0001385,cortical blindness,D019575
MONDO_0001386,visual epilepsy,D012640
MONDO_0001397,mononeuropathy,D020422
MONDO_0001398,ureter benign neoplasm,D014516
MONDO_0001402,vaginal cancer,D014625
MONDO_0001404,ecthyma,D004473
MONDO_0001406,peripheral nervous system neoplasm,D010524
MONDO_0001409,esophagitis,D004941
MONDO_0001410,postmenopausal atrophic vaginitis,D059268
MONDO_0001411,synostosis,D013580
MONDO_0001414,osteopoikilosis,D010023
MONDO_0001422,primary aldosteronism,D006929
MONDO_0001433,vaginal disorder,D014623
MONDO_0001436,hemosiderosis,D006486
MONDO_0001437,pulmonary alveolar proteinosis,D011649
MONDO_0001441,pica disease,D010842
MONDO_0001442,dysthymic disorder,D019263
MONDO_0001443,tympanosclerosis,D063371
MONDO_0001444,Chagas disease,D014355
MONDO_0001445,obsolete neurogenic bladder,D001750
MONDO_0001449,lymphocytic choriomeningitis,D008216
MONDO_0001459,radial neuropathy,D020425
MONDO_0001475,neutropenia,D009503
MONDO_0001476,coloboma,D003103
MONDO_0001478,anisometropia,D015858
MONDO_0001484,paranoid schizophrenia,D012563
MONDO_0001494,obsolete transvestism,D014190
MONDO_0001495,hematocele of tunica vaginalis testis,D006398
MONDO_0001498,varicocele,D014646
MONDO_0001504,fetishistic disorder,D005329
MONDO_0001505,alcoholic hepatitis,D006519
MONDO_0001516,spinal muscular atrophy,D009134
MONDO_0001517,dysentery,D004403
MONDO_0001519,entropion,D004774
MONDO_0001522,pyromania,D005391
MONDO_0001528,vulva cancer,D014846
MONDO_0001529,pancytopenia,D010198
MONDO_0001531,blood coagulation disease,D001778
MONDO_0001535,vagus nerve disorder,D020421
MONDO_0001539,retinal perforation,D012167
MONDO_0001540,bagassosis,D011009
MONDO_0001549,hemolytic-uremic syndrome,D006463
MONDO_0001552,dyscalculia,D060705
MONDO_0001556,urethral obstruction,D014524
MONDO_0001560,hypertrophic pyloric stenosis,D046248
MONDO_0001561,pyloric stenosis,D011707
MONDO_0001561,pyloric stenosis,D017219
MONDO_0001563,vestibulocochlear nerve disorder,D000160
MONDO_0001566,hypercalcemia disease,D006934
MONDO_0001567,nephrocalcinosis,D009397
MONDO_0001569,acoustic neuroma,D009464
MONDO_0001571,gynecomastia disorder,D006177
MONDO_0001572,leiomyoma,D007889
MONDO_0001576,telangiectasis,D013684
MONDO_0001577,respiratory syncytial virus infectious disease,D018357
MONDO_0001589,obsolete vaginal enterocele,D006547
MONDO_0001590,quadriplegia,D011782
MONDO_0001593,rectal disorder,D012002
MONDO_0001595,choreatic disease,D002819
MONDO_0001596,hypochondriasis,D006998
MONDO_0001597,submandibular gland disorder,D013364
MONDO_0001600,mucocele of salivary gland,D011900
MONDO_0001609,agranulocytosis,D000380
MONDO_0001612,carotid stenosis,D016893
MONDO_0001613,vertebrobasilar insufficiency,D014715
MONDO_0001616,lobomycosis,D060368
MONDO_0001617,transient global amnesia,D020236
MONDO_0001627,dementia,D003704
MONDO_0001628,tinea unguium,D014009
MONDO_0001631,vertebral artery insufficiency,D014715
MONDO_0001632,intracranial arteriosclerosis,D002537
MONDO_0001657,brain cancer,D001932
MONDO_0001670,tooth resorption,D014091
MONDO_0001673,diarrheal disease,D003967
MONDO_0001674,diverticulitis of colon,D004239
MONDO_0001676,erythropoietic protoporphyria,D046351
MONDO_0001684,exocrine pancreatic insufficiency,D010188
MONDO_0001688,toxic optic neuropathy,D000081028
MONDO_0001692,pedophilia,D010378
MONDO_0001701,gastrointestinal anthrax,C571911
MONDO_0001705,pure red-cell aplasia,D012010
MONDO_0001708,pulmonary sarcoidosis,D017565
MONDO_0001711,hepatic encephalopathy,D006501
MONDO_0001712,alexia,D004411
MONDO_0001713,inherited aplastic anemia,D029502
MONDO_0001714,bejel,D014211
MONDO_0001718,scleritis,D015423
MONDO_0001725,balanitis xerotica obliterans,D052798
MONDO_0001734,tuberous sclerosis,D014402
MONDO_0001735,paranasal sinus disorder,D010254
MONDO_0001741,hyperparathyroidism,D006961
MONDO_0001744,angle-closure glaucoma,D015812
MONDO_0001746,optic disk drusen,D015594
MONDO_0001751,cholestasis,D002779
MONDO_0001752,alveolar periostitis,D004368
MONDO_0001754,eclampsia,D004461
MONDO_0001761,favism,D005236
MONDO_0001773,post-vaccinal encephalitis,D004673
MONDO_0001780,premature ejaculation,D061686
MONDO_0001787,hepatic infarction,D000081011
MONDO_0001793,excessive tearing,D007766
MONDO_0001797,chancroid,D002602
MONDO_0001807,obsolete familial combined hyperlipidemia,D006950
MONDO_0001810,hypoglossal nerve disorder,D020437
MONDO_0001818,facial neuralgia,D005156
MONDO_0001822,hypolipoproteinemia,D007009
MONDO_0001823,sick sinus syndrome,D012804
MONDO_0001824,polyneuropathy,D011115
MONDO_0001833,lacrimal duct obstruction,D007767
MONDO_0001835,facial paralysis,D005158
MONDO_0001836,amenorrhea,D000568
MONDO_0001854,lacrimal apparatus disorder,D007766
MONDO_0001858,Tietze syndrome,D013991
MONDO_0001867,phaeohyphomycosis,D060446
MONDO_0001875,epicondylitis,D013716
MONDO_0001881,toxic shock syndrome,D012772
MONDO_0001882,bacteriuria,D001437
MONDO_0001883,blue toe syndrome,D018438
MONDO_0001898,optic choroid disorder,D015862
MONDO_0001901,selective IgG subclass deficiency,D017099
MONDO_0001909,renal tubular acidosis,D000141
MONDO_0001910,ochronosis disorder,D009794
MONDO_0001913,oligospermia,D009845
MONDO_0001926,ureteral disorder,D014515
MONDO_0001927,pulmonary valve insufficiency,D011665
MONDO_0001935,neurogenic arthropathy,D001177
MONDO_0001939,skin epithelioid hemangioma,D000796
MONDO_0001940,pleuropneumonia,D011001
MONDO_0001941,blindness (disorder),D001766
MONDO_0001945,postencephalitic Parkinson disease,D010301
MONDO_0001947,suppurative thyroiditis,D013969
MONDO_0001953,pyuria,D011776
MONDO_0001956,capillary leak syndrome,D019559
MONDO_0001957,critical illness polyneuropathy,D011115
MONDO_0001967,gonadal dysgenesis,D006059
MONDO_0001969,mixed gonadal dysgenesis,D006060
MONDO_0001973,Brucella abortus brucellosis,D002007
MONDO_0001976,chorea gravidarum,D020150
MONDO_0001979,dumping syndrome,D004377
MONDO_0001982,Niemann-Pick disease,D009542
MONDO_0001997,root resorption,D012391
MONDO_0002008,labyrinthitis,D007762
MONDO_0002009,major depressive disorder,D003865
MONDO_0002012,methylmalonic acidemia,C537358
MONDO_0002013,lymphangioma,D008202
MONDO_0002017,olivopontocerebellar atrophy,D009849
MONDO_0002021,gingival disorder,D005882
MONDO_0002025,psychiatric disorder,D001523
MONDO_0002026,candidiasis,D002177
MONDO_0002031,cecal disorder,D002429
MONDO_0002036,penile disorder,D010409
MONDO_0002037,pleural disorder,D010995
MONDO_0002039,cognitive disorder,D019965
MONDO_0002040,dermatomycosis,D003881
MONDO_0002041,fungal infectious disease,D009181
MONDO_0002043,ectropion,D004483
MONDO_0002046,alcohol abuse,D000437
MONDO_0002049,thrombocytopenia,D013921
MONDO_0002050,depressive disorder,D003866
MONDO_0002052,lymphadenitis,D008199
MONDO_0002056,breast fibroadenoma,D018226
MONDO_0002060,intraductal papilloma,D018300
MONDO_0002070,ventricular septal defect,D006345
MONDO_0002071,supratentorial cancer,D015173
MONDO_0002072,melanotic neuroectodermal tumor,D017600
MONDO_0002076,pneumothorax,D011030
MONDO_0002078,heart septal defect,D006343
MONDO_0002081,musculoskeletal system disorder,D009140
MONDO_0002093,acanthoma,D049309
MONDO_0002095,vascular cancer,D009383
MONDO_0002098,facial nerve disorder,D005155
MONDO_0002102,cheilitis,D002613
MONDO_0002103,factitious disorder,D009110
MONDO_0002104,conversion disorder,D003291
MONDO_0002105,toxic megacolon,D008532
MONDO_0002110,adrenal rest tumor,D000314
MONDO_0002118,urinary system disorder,D014570
MONDO_0002119,ossifying fibroma,D018214
MONDO_0002120,neuroendocrine carcinoma,D018278
MONDO_0002122,neuritis,D009443
MONDO_0002123,calcinosis,D002114
MONDO_0002125,obsolete status epilepticus,D013226
MONDO_0002127,urethral stricture,D014525
MONDO_0002129,bone cancer,D001859
MONDO_0002131,jaw cancer,D007573
MONDO_0002134,physiological sexual disorder,D012735
MONDO_0002135,optic nerve disorder,D009901
MONDO_0002139,sigmoid disease,D012810
MONDO_0002142,undifferentiated pleomorphic sarcoma,D051677
MONDO_0002144,obsolete hyperuricemia,D033461
MONDO_0002145,disorder of sexual differentiation,D012734
MONDO_0002146,hypogonadism,D007006
MONDO_0002150,hypothalamic disorder,D007027
MONDO_0002154,trichomoniasis,D014245
MONDO_0002155,cholecystitis,D002764
MONDO_0002156,fallopian tube disorder,D005184
MONDO_0002165,rectal neoplasm,D012004
MONDO_0002171,giant cell tumor,D005870
MONDO_0002173,neuroma,D009463
MONDO_0002174,preretinal fibrosis,D019773
MONDO_0002176,obsolete connective tissue cancer,D009372
MONDO_0002177,hyperinsulinism,D006946
MONDO_0002182,communication disorder,D003147
MONDO_0002183,enthesopathy,D000070676
MONDO_0002183,enthesopathy,D012216
MONDO_0002185,hyperostosis,D015576
MONDO_0002187,vulvar disease,D014845
MONDO_0002191,syringoma,D018252
MONDO_0002203,constipation disorder,D003248
MONDO_0002209,heel spur,D036982
MONDO_0002234,vaginitis,D014627
MONDO_0002235,eyelid neoplasm,D005142
MONDO_0002236,ocular cancer,D005134
MONDO_0002237,carbuncle,D002270
MONDO_0002241,factor XIII deficiency,D005177
MONDO_0002242,coagulation protein disease,D020147
MONDO_0002243,hemorrhagic disease,D006474
MONDO_0002244,factor VII deficiency,D005168
MONDO_0002245,blood platelet disease,D001791
MONDO_0002247,factor X deficiency,D005171
MONDO_0002249,thrombocytosis disease,D013922
MONDO_0002250,basilar artery insufficiency,D014715
MONDO_0002251,hepatitis,D006505
MONDO_0002253,spondylosis,D055009
MONDO_0002254,syndromic disease,D013577
MONDO_0002256,cervix disorder,D002577
MONDO_0002257,ankylosis,D000844
MONDO_0002258,pharyngitis,D010612
MONDO_0002259,gonadal disorder,D006058
MONDO_0002260,hidradenitis,D016575
MONDO_0002263,female reproductive system disorder,D005831
MONDO_0002265,stereotypic movement disorder,D019956
MONDO_0002267,obstructive lung disease,D008173
MONDO_0002268,dyspepsia,D004415
MONDO_0002269,gastroenteritis,D005759
MONDO_0002277,arteriosclerosis disorder,D001161
MONDO_0002279,iron metabolism disease,D019189
MONDO_0002280,anemia,D000740
MONDO_0002281,macrocytic anemia,D000748
MONDO_0002282,West Nile fever,D014901
MONDO_0002283,neuroaxonal dystrophy,D019150
MONDO_0002289,iris disorder,D007499
MONDO_0002304,protein S deficiency,D018455
MONDO_0002305,thrombophilia,D019851
MONDO_0002316,motor peripheral neuropathy,D015417
MONDO_0002319,phosphorus metabolism disease,D010760
MONDO_0002322,angiodysplasia,D016888
MONDO_0002325,"tooth erosion, non-bacterial",D014077
MONDO_0002329,testicular disorder,D013733
MONDO_0002330,alcoholic psychosis,D011604
MONDO_0002331,nephrosis,D009401
MONDO_0002332,splenic disorder,D013158
MONDO_0002334,hematopoietic and lymphoid system neoplasm,D019337
MONDO_0002341,granulomatous angiitis,D020293
MONDO_0002345,cervicitis,D002575
MONDO_0002356,pancreas disorder,D010182
MONDO_0002360,chondroma,D002812
MONDO_0002363,papilloma,D010212
MONDO_0002367,kidney cancer,D007680
MONDO_0002369,cystadenoma,D003537
MONDO_0002373,benign mesothelioma,D008654
MONDO_0002378,dermoid cyst,D003884
MONDO_0002380,myoepithelial tumor,D009208
MONDO_0002381,sweat gland neoplasm,D013544
MONDO_0002400,synovitis,D013585
MONDO_0002406,dermatitis,D003872
MONDO_0002407,capillary hemangioma,D018324
MONDO_0002408,hereditary hyperbilirubinemia,D006933
MONDO_0002412,disorder of glycogen metabolism,D006008
MONDO_0002413,glycogen storage disease I,D005953
MONDO_0002420,tic disorder,D013981
MONDO_0002422,adamantinoma,C562741
MONDO_0002422,adamantinoma,D050398
MONDO_0002427,cerebellar disorder,D002526
MONDO_0002428,protozoa infectious disease,D011528
MONDO_0002429,idiopathic interstitial pneumonia,D054988
MONDO_0002436,nasal disorder,D009668
MONDO_0002441,Jervell and Lange-Nielsen syndrome,D029593
MONDO_0002442,long QT syndrome,D008133
MONDO_0002443,bruxism,D002012
MONDO_0002450,prostatic adenoma,D011470
MONDO_0002453,retrocochlear disease,D012181
MONDO_0002461,membranoproliferative glomerulonephritis,D015432
MONDO_0002462,glomerulonephritis,D005921
MONDO_0002465,bronchiolitis,D001988
MONDO_0002467,inner ear disorder,D007759
MONDO_0002471,bursitis,D002062
MONDO_0002473,cystic kidney disease,D052177
MONDO_0002474,primary hyperoxaluria,D006960
MONDO_0002476,anuria,D001002
MONDO_0002479,Sertoli-Leydig cell tumor,D018310
MONDO_0002492,acute kidney injury,D058186
MONDO_0002494,substance-related disorder,D019966
MONDO_0002507,gingival overgrowth,D019214
MONDO_0002508,gingivitis,D005891
MONDO_0002510,obsolete germ cell and embryonal cancer,D009373
MONDO_0002512,papillary adenocarcinoma,D000231
MONDO_0002519,anus disorder,D001004
MONDO_0002520,hepatic porphyria,D017094
MONDO_0002523,cutaneous mucinosis,D017520
MONDO_0002527,keratoacanthoma,D007636
MONDO_0002531,skin neoplasm,D012878
MONDO_0002532,squamous cell neoplasm,D018307
MONDO_0002537,inverted papilloma,D018308
MONDO_0002545,spinal cord disorder,D013118
MONDO_0002547,nerve sheath neoplasm,D018317
MONDO_0002561,lysosomal storage disease,D016464
MONDO_0002562,demyelinating disease,D003711
MONDO_0002564,jejunal neoplasm,D007580
MONDO_0002565,myelitis,D009187
MONDO_0002567,tracheal disorder,D014133
MONDO_0002568,tracheal stenosis,D014135
MONDO_0002569,gastric dilatation,D013271
MONDO_0002570,high pressure neurological syndrome,D006610
MONDO_0002572,aspiration pneumonitis,D011015
MONDO_0002580,orbit rhabdomyosarcoma,C537605
MONDO_0002594,monkeypox,D045908
MONDO_0002595,vaccinia,D014615
MONDO_0002598,germinoma,D018237
MONDO_0002599,teratocarcinoma,D018243
MONDO_0002601,teratoma,D013724
MONDO_0002602,central nervous system disorder,D002493
MONDO_0002603,angiomyolipoma,D018207
MONDO_0002610,purpura,D011693
MONDO_0002612,frontal lobe epilepsy,D017034
MONDO_0002613,histrionic personality disorder,D006677
MONDO_0002614,bone inflammation disease,D010000
MONDO_0002615,xanthomatosis,D014973
MONDO_0002633,cranial nerve neoplasm,D003390
MONDO_0002635,periodontal disorder,D010510
MONDO_0002636,accessory nerve disorder,D020436
MONDO_0002637,histiocytosis,D015614
MONDO_0002640,optic nerve neoplasm,D019574
MONDO_0002643,vestibular disorder,D015837
MONDO_0002647,laryngitis,D007827
MONDO_0002648,mammary Paget disease,D010144
MONDO_0002654,uterine disorder,D014591
MONDO_0002655,cutaneous Paget disease,D010145
MONDO_0002657,breast disorder,D001941
MONDO_0002661,uveal disorder,D014603
MONDO_0002675,neurofibrosarcoma,D018319
MONDO_0002679,cerebral infarction,D002544
MONDO_0002680,chronic wasting disease,D034081
MONDO_0002682,cerebral ventricle cancer,D002551
MONDO_0002687,superior mesenteric artery syndrome,D013478
MONDO_0002688,duodenal obstruction,D004380
MONDO_0002692,intracranial sinus thrombosis,D012851
MONDO_0002693,lateral sinus thrombosis,D020227
MONDO_0002694,cavernous sinus thrombosis,D020226
MONDO_0002695,sagittal sinus thrombosis,D020225
MONDO_0002696,Sertoli cell tumor,D012707
MONDO_0002708,retinitis,D012173
MONDO_0002713,epidural spinal canal neoplasm,D015174
MONDO_0002714,central nervous system cancer,D016543
MONDO_0002715,uterine cancer,D014594
MONDO_0002726,cutaneous solitary mastocytoma,D054705
MONDO_0002727,olfactory nerve disorder,D020431
MONDO_0002728,rhabdoid tumor,D018335
MONDO_0002769,leukorrhea,D007973
MONDO_0002770,vaginal discharge,D019522
MONDO_0002771,pulmonary fibrosis,D011658
MONDO_0002775,anovulation,D000858
MONDO_0002783,Shwartzman phenomenon,D012790
MONDO_0002785,skull base neoplasm,D019292
MONDO_0002800,thrombophlebitis,D013924
MONDO_0002801,colonic pseudo-obstruction,D003112
MONDO_0002802,functional colonic disease,D003109
MONDO_0002803,intestinal pseudo-obstruction,D007418
MONDO_0002806,bronchogenic carcinoma,D002283
MONDO_0002807,bronchial neoplasm,D001984
MONDO_0002814,adrenal carcinoma,D018268
MONDO_0002816,adrenal cortex disorder,D000303
MONDO_0002817,adrenal gland cancer,D000310
