meshId,mesh_name,level,genes,diseases,associations,mean_score,max_score
D006394,Hemangiosarcoma,5.0,1155,1,1155,0.0955,0.5304
D065646,"Thyroid Carcinoma, Anaplastic",5.0,1148,1,1148,0.0608,0.4558
D015458,"Leukemia, T-Cell",5.0,1137,1,1137,0.0059,0.076
D018317,Nerve Sheath Neoplasms,4.0,1100,2,1116,0.0238,0.6915
D058922,Inflammatory Breast Neoplasms,4.0,1087,1,1087,0.0184,0.4198
D006828,Hydatidiform Mole,5.0,878,2,1074,0.0263,0.6965
D012514,"Sarcoma, Kaposi",4.0,1066,1,1066,0.0214,0.5406
D012514,"Sarcoma, Kaposi",5.0,1066,1,1066,0.0214,0.5406
D013724,Teratoma,4.0,1056,2,1057,0.013,0.3234
D008113,Liver Neoplasms,4.0,1057,1,1057,0.0076,0.3367
D018827,"Carcinoma, Lewis Lung",5.0,1042,1,1042,0.0051,0.0344
D016586,Granular Cell Tumor,5.0,1027,1,1027,0.0116,0.2813
D007516,"Adenoma, Islet Cell",5.0,332,1,996,0.0102,0.1032
D010212,Papilloma,5.0,935,1,935,0.0103,0.3844
D017824,"Bone Cysts, Aneurysmal",4.0,923,1,923,0.0119,0.3884
D002288,"Adenocarcinoma, Mucinous",5.0,890,1,890,0.0065,0.2961
D007945,"Leukemia, Lymphoid",4.0,889,1,889,0.0634,0.619
D047708,Myofibroma,5.0,852,2,869,0.0982,0.6756
D018243,Teratocarcinoma,4.0,850,1,850,0.0048,0.1183
D002295,"Carcinoma, Transitional Cell",5.0,840,1,840,0.0126,0.4733
D007414,Intestinal Neoplasms,5.0,810,1,810,0.0068,0.5042
D006391,Hemangioma,4.0,780,1,780,0.019,0.5192
D018288,"Carcinoma, Small Cell",5.0,779,1,779,0.0334,0.3788
D002822,Choriocarcinoma,4.0,738,1,738,0.0071,0.4355
D002822,Choriocarcinoma,5.0,738,1,738,0.0071,0.4355
D010954,Plasmacytoma,4.0,734,1,734,0.0251,0.3415
D003537,Cystadenoma,5.0,352,1,704,0.0045,0.0192
D000564,Ameloblastoma,4.0,691,1,691,0.0186,0.451
D003397,Craniopharyngioma,5.0,340,1,680,0.0163,0.3459
D018238,Gonadoblastoma,4.0,337,1,674,0.0315,0.0902
D015477,"Leukemia, Myelomonocytic, Chronic",5.0,663,1,663,0.0728,0.6873
D006393,Hemangiopericytoma,4.0,560,2,657,0.0234,0.3778
D006106,Granulosa Cell Tumor,5.0,328,1,656,0.0066,0.039
D007943,"Leukemia, Hairy Cell",4.0,651,1,651,0.0558,0.5083
D009455,Neurofibroma,5.0,640,1,640,0.0167,0.6576
D018234,"Sarcoma, Alveolar Soft Part",5.0,317,1,634,0.0338,0.3793
D018277,"Carcinoma, Mucoepidermoid",5.0,606,1,606,0.0101,0.2843
D018298,Mucoepidermoid Tumor,5.0,606,1,606,0.0101,0.2843
D010145,"Paget Disease, Extramammary",5.0,602,1,602,0.1027,0.3883
D005834,"Genital Neoplasms, Male",4.0,579,1,579,0.1465,0.4806
D005833,"Genital Neoplasms, Female",4.0,551,1,551,0.0071,0.2593
D000310,Adrenal Gland Neoplasms,4.0,531,2,544,0.0059,0.0623
D008067,Lipoma,5.0,535,1,535,0.032,0.4705
D054739,"Dendritic Cell Sarcoma, Interdigitating",4.0,531,2,532,0.0175,0.3281
D000306,Adrenal Cortex Neoplasms,5.0,522,1,522,0.0117,0.3728
D013736,Testicular Neoplasms,5.0,483,2,521,0.0398,0.4935
D013736,Testicular Neoplasms,4.0,483,2,521,0.0398,0.4935
D018287,"Carcinoma, Large Cell",5.0,509,1,509,0.0044,0.0562
D018249,"Adenoma, Oxyphilic",5.0,490,1,490,0.0065,0.3326
D002296,Carcinosarcoma,4.0,481,1,481,0.0189,0.3696
D002296,Carcinosarcoma,5.0,481,1,481,0.0189,0.3696
D018207,Angiomyolipoma,5.0,238,1,476,0.0085,0.462
D054429,"Leukemia, Myelomonocytic, Juvenile",5.0,472,1,472,0.037,0.8267
D008415,Mastocytosis,5.0,470,1,470,0.0293,0.7075
D018196,"Carcinoma, Adenosquamous",5.0,449,1,449,0.0084,0.2804
D018196,"Carcinoma, Adenosquamous",4.0,449,1,449,0.0084,0.2804
D016393,"Lymphoma, B-Cell",5.0,436,1,436,0.0136,0.3708
D018335,Rhabdoid Tumor,4.0,429,1,429,0.0117,0.4059
D009232,Myxoma,5.0,387,2,423,0.0135,0.3812
D018227,"Sarcoma, Clear Cell",5.0,205,1,410,0.0366,0.3785
D012468,Salivary Gland Neoplasms,5.0,408,1,408,0.0155,0.1151
D018761,Multiple Endocrine Neoplasia Type 1,4.0,199,1,398,0.0208,0.8653
D005870,Giant Cell Tumors,5.0,396,1,396,0.0092,0.5364
D008258,Waldenstrom Macroglobulinemia,4.0,389,1,389,0.0373,0.5385
D018273,"Carcinoma, Islet Cell",5.0,186,1,372,0.0263,0.3364
D018203,"Sarcoma, Endometrial Stromal",4.0,350,1,350,0.0382,0.3766
D004416,Dysplastic Nevus Syndrome,5.0,331,1,331,0.019,0.3843
D018279,"Carcinoma, Signet Ring Cell",5.0,330,1,330,0.0058,0.1909
D018324,"Hemangioma, Capillary",5.0,304,1,304,0.0199,0.3696
D018302,"Neoplasms, Neuroepithelial",5.0,151,1,302,0.0102,0.2772
D061325,Hereditary Breast and Ovarian Cancer Syndrome,4.0,295,1,295,0.1398,0.8279
D061325,Hereditary Breast and Ovarian Cancer Syndrome,5.0,295,1,295,0.1398,0.8279
D009062,Mouth Neoplasms,4.0,293,1,293,0.0875,0.3234
D058405,Desmoplastic Small Round Cell Tumor,5.0,292,1,292,0.0434,0.3793
D054747,Histiocytic Sarcoma,4.0,279,1,279,0.0092,0.2336
D009208,Myoepithelioma,4.0,277,1,277,0.0554,0.3769
D015175,Prolactinoma,5.0,137,1,274,0.0255,0.4643
D009506,Nevus,4.0,265,1,265,0.0301,0.467
D018289,"Carcinoma, Verrucous",5.0,132,1,264,0.0242,0.0924
D009214,Myoma,5.0,252,1,252,0.0252,0.3683
D003557,Phyllodes Tumor,5.0,250,1,250,0.0057,0.0634
D000077777,Myopericytoma,5.0,124,1,248,0.0049,0.1877
D018813,Multiple Endocrine Neoplasia Type 2a,4.0,123,1,246,0.0192,0.8591
D054973,Perivascular Epithelioid Cell Neoplasms,4.0,233,1,233,0.0231,0.3787
D018266,"Adenocarcinoma, Sebaceous",5.0,233,1,233,0.05,0.2859
D055653,Muir-Torre Syndrome,5.0,116,1,232,0.056,0.7678
D018567,"Breast Neoplasms, Male",4.0,225,1,225,0.0583,0.5326
D015463,"Leukemia, Prolymphocytic",5.0,224,1,224,0.0174,0.1051
D009807,Odontogenic Cysts,5.0,223,1,223,0.0092,0.3027
D006392,"Hemangioma, Cavernous",5.0,222,1,222,0.0114,0.413
D000071960,Breast Carcinoma In Situ,4.0,213,1,213,0.0225,0.3001
D007952,"Leukemia, Plasma Cell",4.0,208,1,208,0.0203,0.1062
D007952,"Leukemia, Plasma Cell",5.0,208,1,208,0.0203,0.1062
D010610,Pharyngeal Neoplasms,5.0,204,1,204,0.0285,0.3683
D018761,Multiple Endocrine Neoplasia Type 1,5.0,199,1,199,0.0208,0.8653
D018235,Smooth Muscle Tumor,5.0,196,1,196,0.0102,0.282
D002804,Chondroblastoma,5.0,190,1,190,0.0582,0.3755
D018237,Germinoma,4.0,183,2,185,0.0083,0.1183
D014328,Trophoblastic Neoplasms,4.0,183,1,183,0.0053,0.0325
D018296,Pilomatrixoma,5.0,173,1,173,0.02,0.7856
D005706,Gallbladder Neoplasms,5.0,169,1,169,0.0317,0.3202
D018253,"Adenoma, Villous",5.0,169,1,169,0.0052,0.0324
D000235,Adenolymphoma,4.0,168,1,168,0.0072,0.1897
D050398,Adamantinoma,4.0,162,1,162,0.0272,0.0889
D014516,Ureteral Neoplasms,5.0,122,2,158,0.044,0.2396
D004407,Dysgerminoma,5.0,154,1,154,0.0097,0.1614
D018302,"Neoplasms, Neuroepithelial",4.0,151,1,151,0.0102,0.2772
D001752,Blast Crisis,5.0,150,1,150,0.1514,0.5745
D010534,Peritoneal Neoplasms,4.0,74,1,148,0.1901,0.4981
D018307,"Neoplasms, Squamous Cell",4.0,147,1,147,0.0035,0.0165
D002817,Chordoma,4.0,143,1,143,0.1601,0.3945
D008202,Lymphangioma,4.0,140,1,140,0.0432,0.381
D006390,Hemangioendothelioma,5.0,140,1,140,0.0053,0.0743
D007946,"Leukemia, Mast-Cell",4.0,134,1,134,0.092,0.5711
D009372,"Neoplasms, Connective Tissue",4.0,134,1,134,0.1169,0.3888
D018306,Neurocytoma,5.0,132,1,132,0.013,0.2786
D008577,Meningeal Neoplasms,5.0,131,1,131,0.067,0.4917
D018202,Pulmonary Blastoma,4.0,127,1,127,0.1252,0.3759
D018813,Multiple Endocrine Neoplasia Type 2a,5.0,123,1,123,0.0192,0.8591
D018286,"Carcinoma, Giant Cell",5.0,122,1,122,0.0223,0.3705
D010997,Pleural Neoplasms,5.0,120,1,120,0.0043,0.0414
D018280,"Carcinoma, Skin Appendage",5.0,116,1,116,0.0566,0.3696
D012626,Sebaceous Gland Neoplasms,4.0,112,1,112,0.0064,0.041
D009464,"Neuroma, Acoustic",5.0,111,1,111,0.0101,0.6103
D005918,Glomus Tumor,4.0,107,1,107,0.013,0.2858
D018814,Multiple Endocrine Neoplasia Type 2b,4.0,52,1,104,0.0205,0.8196
D018312,Sex Cord-Gonadal Stromal Tumors,4.0,104,1,104,0.0147,0.4161
D014625,Vaginal Neoplasms,5.0,102,1,102,0.0397,0.3696
D018195,Adenosarcoma,5.0,99,1,99,0.0075,0.0372
D018195,Adenosarcoma,4.0,99,1,99,0.0075,0.0372
D034701,"Mastocytosis, Cutaneous",4.0,94,1,94,0.0438,0.8103
D036821,Endometrial Stromal Tumors,5.0,46,1,92,0.0051,0.0209
D003536,Cystadenocarcinoma,5.0,92,1,92,0.013,0.4607
D002286,"Carcinoma, Ehrlich Tumor",5.0,91,1,91,0.0055,0.0503
D018191,"Lymphangioma, Cystic",5.0,87,1,87,0.0312,0.34
D018328,"Melanoma, Amelanotic",5.0,87,1,87,0.0036,0.0152
D018322,Angiofibroma,4.0,86,1,86,0.0282,0.6402
D010524,Peripheral Nervous System Neoplasms,4.0,82,1,82,0.0075,0.0739
D014571,Urologic Neoplasms,4.0,82,1,82,0.1784,0.3696
D003884,Dermoid Cyst,5.0,78,1,78,0.0045,0.0261
D013544,Sweat Gland Neoplasms,4.0,78,1,78,0.0047,0.02
D054740,"Dendritic Cell Sarcoma, Follicular",4.0,73,1,73,0.0515,0.2782
D001650,Bile Duct Neoplasms,5.0,72,1,72,0.0064,0.0453
D018300,"Papilloma, Intraductal",5.0,71,1,71,0.0052,0.017
D009379,"Neoplasms, Muscle Tissue",4.0,61,2,66,0.0039,0.0123
D014846,Vulvar Neoplasms,5.0,66,1,66,0.0387,0.1006
D012142,Respiratory Tract Neoplasms,4.0,64,1,64,0.0919,0.3352
D010412,Penile Neoplasms,5.0,60,1,60,0.0295,0.0924
D002759,"Adenoma, Bile Duct",5.0,57,1,57,0.0162,0.2807
D018194,Adenomyoma,4.0,57,1,57,0.0048,0.0157
D013120,Spinal Cord Neoplasms,5.0,56,1,56,0.0053,0.037
D019042,Muscle Neoplasms,4.0,54,1,54,0.004,0.0123
D018814,Multiple Endocrine Neoplasia Type 2b,5.0,52,1,52,0.0205,0.8196
D018321,Neurothekeoma,5.0,52,1,52,0.0058,0.0317
D018295,"Neoplasms, Basal Cell",4.0,46,1,46,0.0043,0.02
D008204,Lymphangiosarcoma,5.0,45,1,45,0.0669,0.1848
D018209,Myelolipoma,5.0,45,1,45,0.0073,0.036
D008204,Lymphangiosarcoma,4.0,45,1,45,0.0669,0.1848
D002281,"Carcinoma, Basosquamous",5.0,22,1,44,0.0491,0.2772
D002812,Chondroma,5.0,43,1,43,0.0488,0.3718
D054752,Langerhans Cell Sarcoma,4.0,42,1,42,0.0085,0.1874
D005142,Eyelid Neoplasms,5.0,41,1,41,0.0061,0.0443
D008048,Lip Neoplasms,5.0,39,1,39,0.0177,0.1896
D009918,Orbital Neoplasms,5.0,37,1,37,0.0026,0.0079
D009918,Orbital Neoplasms,4.0,37,1,37,0.0026,0.0079
D055882,"Nevus, Halo",5.0,37,1,37,0.0088,0.0814
D017733,"Leukoplakia, Hairy",5.0,36,1,36,0.0043,0.0129
D018206,Angiolipoma,5.0,34,1,34,0.0204,0.1848
D000232,Adenofibroma,5.0,32,1,32,0.0037,0.0125
D018201,"Nephroma, Mesoblastic",4.0,32,1,32,0.0045,0.0102
D018301,"Neoplasms, Mesothelial",4.0,32,1,32,0.0085,0.0988
D018228,"Sarcoma, Small Cell",5.0,16,1,32,0.004,0.0074
D000182,"ACTH Syndrome, Ectopic",4.0,31,1,31,0.0136,0.0743
D018225,"Neoplasms, Fibroepithelial",4.0,30,1,30,0.0038,0.0118
D018245,"Trophoblastic Tumor, Placental Site",5.0,30,1,30,0.065,0.1848
D055847,Lynch Syndrome II,4.0,30,1,30,0.0688,0.5117
D014523,Urethral Neoplasms,5.0,28,1,28,0.0222,0.037
D005185,Fallopian Tube Neoplasms,5.0,27,1,27,0.2207,0.3696
D019292,Skull Base Neoplasms,5.0,27,1,27,0.0035,0.0074
D008479,Mediastinal Neoplasms,4.0,21,1,21,0.0815,0.2587
D017600,"Neuroectodermal Tumor, Melanotic",5.0,10,1,20,0.0044,0.0074
D049309,Acanthoma,5.0,19,1,19,0.0324,0.3696
D049309,Acanthoma,4.0,19,1,19,0.0324,0.3696
D000794,Angiokeratoma,4.0,18,1,18,0.0294,0.2772
D013330,Struma Ovarii,5.0,18,1,18,0.0063,0.0193
D018255,"Adenomatosis, Pulmonary",5.0,17,1,17,0.0026,0.0074
D019046,Bone Marrow Neoplasms,4.0,16,1,16,0.0542,0.4989
D002287,"Carcinoma, Krebs 2",5.0,13,1,13,0.003,0.0037
D015811,Iris Neoplasms,5.0,12,2,13,0.0021,0.0037
D008203,Lymphangiomyoma,4.0,12,1,12,0.0031,0.0069
D014134,Tracheal Neoplasms,5.0,12,1,12,0.0037,0.0074
D014134,Tracheal Neoplasms,4.0,12,1,12,0.0037,0.0074
D015456,"Leukemia, Biphenotypic, Acute",5.0,11,1,11,0.0072,0.0152
D000238,"Adenoma, Chromophobe",5.0,11,1,11,0.0077,0.0167
D018330,"Nevus, Intradermal",5.0,11,1,11,0.1025,0.3696
D014604,Uveal Neoplasms,4.0,11,1,11,0.0452,0.462
D012186,Retroperitoneal Neoplasms,4.0,10,1,10,0.1272,0.5233
D018297,"Neoplasms, Cystic, Mucinous, and Serous",4.0,10,1,10,0.037,0.037
D019572,Retinal Neoplasms,4.0,9,1,9,0.0027,0.0059
D003390,Cranial Nerve Neoplasms,4.0,8,1,8,0.0643,0.243
D003390,Cranial Nerve Neoplasms,5.0,8,1,8,0.0643,0.243
D000314,Adrenal Rest Tumor,5.0,8,1,8,0.0023,0.0059
D012888,Skull Neoplasms,4.0,7,1,7,0.002,0.0037
D018198,"Mixed Tumor, Malignant",4.0,7,2,7,0.0937,0.2772
D008637,Mesenchymoma,4.0,7,1,7,0.0018,0.0022
D062625,Cystadenofibroma,5.0,7,1,7,0.0041,0.0046
D000239,"Adenoma, Acidophil",5.0,6,1,6,0.0039,0.0057
D019574,Optic Nerve Neoplasms,5.0,6,1,6,0.0034,0.0074
D051527,"Odontogenic Tumor, Squamous",4.0,6,1,6,0.0033,0.0074
D006338,Heart Neoplasms,4.0,5,1,5,0.0041,0.0074
D031954,"Choriocarcinoma, Non-gestational",5.0,4,1,4,0.0018,0.0022
D058617,Composite Lymphoma,4.0,2,1,4,0.0022,0.0022
D005887,Gingival Neoplasms,5.0,3,1,3,0.0061,0.0081
D010157,Palatal Neoplasms,5.0,2,1,2,0.0022,0.0022
D000237,"Adenoma, Basophil",5.0,2,1,2,0.0038,0.0054
D004428,Ear Neoplasms,5.0,1,1,1,0.0015,0.0015
D007573,Jaw Neoplasms,5.0,1,1,1,0.0037,0.0037
D018199,"Mixed Tumor, Mesodermal",4.0,1,1,1,0.0067,0.0067
D018199,"Mixed Tumor, Mesodermal",5.0,1,1,1,0.0067,0.0067
