diseaseId,diseaseName,meshId,mesh_name,tree_number,level
MONDO_0002532,squamous cell neoplasm,D018307,"Neoplasms, Squamous Cell",C04.557.470.700,4.0
MONDO_0002537,inverted papilloma,D018308,"Papilloma, Inverted",C04.557.470.700.600.610,6.0
MONDO_0002547,nerve sheath neoplasm,D018317,Nerve Sheath Neoplasms,C04.557.580.600,4.0
MONDO_0002564,jejunal neoplasm,D007580,Jejunal Neoplasms,C04.588.274.476.411.523,6.0
MONDO_0002580,orbit rhabdomyosarcoma,C537605,,,
MONDO_0002598,germinoma,D018237,Germinoma,C04.557.465.330,4.0
MONDO_0002599,teratocarcinoma,D018243,Teratocarcinoma,C04.557.465.900,4.0
MONDO_0002601,teratoma,D013724,Teratoma,C04.557.465.910,4.0
MONDO_0002603,angiomyolipoma,D018207,Angiomyolipoma,C04.557.450.550.125,5.0
MONDO_0002603,angiomyolipoma,D018207,Angiomyolipoma,C04.557.450.692.249,5.0
MONDO_0002633,cranial nerve neoplasm,D003390,Cranial Nerve Neoplasms,C04.588.614.300,4.0
MONDO_0002633,cranial nerve neoplasm,D003390,Cranial Nerve Neoplasms,C04.588.614.596.240,5.0
MONDO_0002648,mammary Paget disease,D010144,"Paget's Disease, Mammary",C04.557.470.200.240.187.500,7.0
MONDO_0002648,mammary Paget disease,D010144,"Paget's Disease, Mammary",C04.557.470.615.275.625,6.0
MONDO_0002655,cutaneous Paget disease,D010145,"Paget Disease, Extramammary",C04.557.470.200.025.660,6.0
MONDO_0002655,cutaneous Paget disease,D010145,"Paget Disease, Extramammary",C04.557.470.615.660,5.0
MONDO_0002675,neurofibrosarcoma,D018319,Neurofibrosarcoma,C04.557.450.565.590.350.590,7.0
MONDO_0002675,neurofibrosarcoma,D018319,Neurofibrosarcoma,C04.557.450.795.350.590,6.0
MONDO_0002675,neurofibrosarcoma,D018319,Neurofibrosarcoma,C04.557.580.600.580.795,6.0
MONDO_0002715,uterine cancer,D014594,Uterine Neoplasms,C04.588.945.418.948,5.0
MONDO_0002785,skull base neoplasm,D019292,Skull Base Neoplasms,C04.588.149.721.828,5.0
MONDO_0002814,adrenal carcinoma,D018268,Adrenocortical Carcinoma,C04.557.470.200.025.152,6.0
MONDO_0002814,adrenal carcinoma,D018268,Adrenocortical Carcinoma,C04.588.322.078.265.750,6.0
MONDO_0002817,adrenal gland cancer,D000310,Adrenal Gland Neoplasms,C04.588.322.078,4.0
MONDO_0002872,trophoblastic neoplasm,D014328,Trophoblastic Neoplasms,C04.557.465.955,4.0
MONDO_0002872,trophoblastic neoplasm,D014328,Trophoblastic Neoplasms,C04.850.908,3.0
MONDO_0002878,uterine corpus adenosarcoma,C538232,,,
MONDO_0002912,brainstem cancer,D020295,Brain Stem Neoplasms,C04.588.614.250.195.411.100,7.0
MONDO_0002913,cerebellar neoplasm,D002528,Cerebellar Neoplasms,C04.588.614.250.195.411.211,7.0
MONDO_0002928,carcinosarcoma,D002296,Carcinosarcoma,C04.557.435.290,4.0
MONDO_0002928,carcinosarcoma,D002296,Carcinosarcoma,C04.557.450.795.290,5.0
MONDO_0002989,benign fibrous histiocytoma,D018219,"Histiocytoma, Benign Fibrous",C04.557.450.565.590.425.350,7.0
MONDO_0003001,seminoma,D018239,Seminoma,C04.557.465.330.800,5.0
MONDO_0003002,dysgerminoma,D004407,Dysgerminoma,C04.557.465.330.300,5.0
MONDO_0003008,hereditary renal cell carcinoma,C536851,,,
MONDO_0003024,breast angiosarcoma,C536368,,,
MONDO_0003036,mucoepidermoid carcinoma,D018298,Mucoepidermoid Tumor,C04.557.470.590.580,5.0
MONDO_0003036,mucoepidermoid carcinoma,D018277,"Carcinoma, Mucoepidermoid",C04.557.470.200.025.340,6.0
MONDO_0003036,mucoepidermoid carcinoma,D018277,"Carcinoma, Mucoepidermoid",C04.557.470.590.340,5.0
MONDO_0003061,benign muscle neoplasm,D009214,Myoma,C04.557.450.590.540,5.0
MONDO_0003079,mastocytoma,D034801,Mastocytoma,C04.557.450.565.465.249,6.0
MONDO_0003107,infratentorial cancer,D015192,Infratentorial Neoplasms,C04.588.614.250.195.411,6.0
MONDO_0003143,angiokeratoma,D000794,Angiokeratoma,C04.557.645.115,4.0
MONDO_0003218,adenocarcinoma in situ,D065311,Adenocarcinoma in Situ,C04.557.470.200.025.014,6.0
MONDO_0003218,adenocarcinoma in situ,D065311,Adenocarcinoma in Situ,C04.557.470.200.240.124,6.0
MONDO_0003250,benign granular cell tumor,D009379,"Neoplasms, Muscle Tissue",C04.557.450.590,4.0
MONDO_0003277,malignant ear neoplasm,D004428,Ear Neoplasms,C04.588.443.665.312,5.0
MONDO_0003295,leiomyomatosis,D018231,Leiomyomatosis,C04.557.450.590.450.465,6.0
MONDO_0003464,cystadenofibroma,D062625,Cystadenofibroma,C04.557.450.565.590.595.050.500,8.0
MONDO_0003464,cystadenofibroma,D062625,Cystadenofibroma,C04.557.470.590.482,5.0
MONDO_0003464,cystadenofibroma,D062625,Cystadenofibroma,C04.557.470.625.050.500,6.0
MONDO_0003478,childhood ependymoma,C531673,,,
MONDO_0003525,pancreatic gastrin-producing neuroendocrine tumor,D015408,Gastrinoma,C04.557.470.200.025.290.500,7.0
MONDO_0003525,pancreatic gastrin-producing neuroendocrine tumor,D015408,Gastrinoma,C04.588.274.761.500.124,6.0
MONDO_0003525,pancreatic gastrin-producing neuroendocrine tumor,D015408,Gastrinoma,C04.588.322.475.500.124,6.0
MONDO_0003715,bladder urachal carcinoma,C536475,,,
MONDO_0003825,kidney oncocytoma,C537750,,,
MONDO_0004095,B-cell neoplasm,D016393,"Lymphoma, B-Cell",C04.557.386.480.150,5.0
MONDO_0004180,benign urinary system neoplasm,D014571,Urologic Neoplasms,C04.588.945.947,4.0
MONDO_0004255,Wolffian adnexal tumor,C536741,,,
MONDO_0004331,bladder urachal adenocarcinoma,C536474,,,
MONDO_0004334,non-functional pancreatic neuroendocrine tumor,C536126,,,
MONDO_0004532,auditory system cancer,D004428,Ear Neoplasms,C04.588.443.665.312,5.0
MONDO_0004631,tongue cancer,D014062,Tongue Neoplasms,C04.588.443.591.925,5.0
MONDO_0004643,myeloid leukemia,D007951,"Leukemia, Myeloid",C04.557.337.539,4.0
MONDO_0004647,in situ carcinoma,D002278,Carcinoma in Situ,C04.557.470.200.240,5.0
MONDO_0004658,breast carcinoma in situ,D000071960,Breast Carcinoma In Situ,C04.557.470.200.240.187,6.0
MONDO_0004658,breast carcinoma in situ,D000071960,Breast Carcinoma In Situ,C04.588.180.130,4.0
MONDO_0004669,salivary gland cancer,D012468,Salivary Gland Neoplasms,C04.588.443.591.824,5.0
MONDO_0004700,parotid gland cancer,D010307,Parotid Neoplasms,C04.588.443.591.824.695,6.0
MONDO_0005094,hemangiopericytoma,D006393,Hemangiopericytoma,C04.557.645.380,4.0
MONDO_0005184,pancreatic ductal adenocarcinoma,D021441,"Carcinoma, Pancreatic Ductal",C04.557.470.200.025.232.750,7.0
MONDO_0005184,pancreatic ductal adenocarcinoma,D021441,"Carcinoma, Pancreatic Ductal",C04.557.470.615.132.750,6.0
MONDO_0005184,pancreatic ductal adenocarcinoma,D021441,"Carcinoma, Pancreatic Ductal",C04.588.274.761.750,5.0
MONDO_0005184,pancreatic ductal adenocarcinoma,D021441,"Carcinoma, Pancreatic Ductal",C04.588.322.475.750,5.0
MONDO_0005232,large cell carcinoma,D018287,"Carcinoma, Large Cell",C04.557.470.200.260,5.0
MONDO_0005374,bone marrow neoplasm,D019046,Bone Marrow Neoplasms,C04.588.448.200,4.0
MONDO_0005508,hereditary multiple osteochondromas,D005097,"Exostoses, Multiple Hereditary",C04.557.450.565.575.610.615.325,8.0
MONDO_0005508,hereditary multiple osteochondromas,D005097,"Exostoses, Multiple Hereditary",C04.700.330,3.0
MONDO_0006058,Wilms tumor,D009396,Wilms Tumor,C04.557.435.595,4.0
MONDO_0006058,Wilms tumor,D009396,Wilms Tumor,C04.588.945.947.535.585,6.0
MONDO_0006058,Wilms tumor,D009396,Wilms Tumor,C04.700.900,3.0
MONDO_0007154,arteriovenous malformations of the brain,D002538,,,
MONDO_0007300,cerebral sarcoma,C537946,,,
MONDO_0007329,"cirrhosis, familial",C566123,,,
MONDO_0007540,multiple endocrine neoplasia type 1,D018761,Multiple Endocrine Neoplasia Type 1,C04.588.322.400.500,5.0
MONDO_0007540,multiple endocrine neoplasia type 1,D018761,Multiple Endocrine Neoplasia Type 1,C04.651.600.500,4.0
MONDO_0007540,multiple endocrine neoplasia type 1,D018761,Multiple Endocrine Neoplasia Type 1,C04.700.630.500,4.0
MONDO_0007707,hemangiomas of small intestine,C564201,,,
MONDO_0007909,familial multiple lipomatosis,D000071070,,,
MONDO_0007925,myelodysplastic syndrome associated with isolated del(5q),C535323,,,
MONDO_0007958,familial medullary thyroid carcinoma,C536911,,,
MONDO_0008018,Muir-Torre syndrome,D055653,Muir-Torre Syndrome,C04.588.805.578.500,5.0
MONDO_0008018,Muir-Torre syndrome,D055653,Muir-Torre Syndrome,C04.700.250.500.500,5.0
MONDO_0008040,transient myeloproliferative syndrome,C563551,,,
MONDO_0008082,multiple endocrine neoplasia type 2B,D018814,Multiple Endocrine Neoplasia Type 2b,C04.588.322.400.510,5.0
MONDO_0008082,multiple endocrine neoplasia type 2B,D018814,Multiple Endocrine Neoplasia Type 2b,C04.651.600.510,4.0
MONDO_0008082,multiple endocrine neoplasia type 2B,D018814,Multiple Endocrine Neoplasia Type 2b,C04.700.630.510,4.0
MONDO_0008093,"nevus, epidermal",C580062,,,
MONDO_0008139,OSLAM syndrome,C537138,,,
MONDO_0008170,ovarian cancer,D010051,Ovarian Neoplasms,C04.588.322.455,4.0
MONDO_0008233,pheochromocytoma,D010673,Pheochromocytoma,C04.557.465.625.650.700.725,7.0
MONDO_0008233,pheochromocytoma,D010673,Pheochromocytoma,C04.557.580.625.650.700.725,7.0
MONDO_0008234,multiple endocrine neoplasia type 2A,D018813,Multiple Endocrine Neoplasia Type 2a,C04.588.322.400.505,5.0
MONDO_0008234,multiple endocrine neoplasia type 2A,D018813,Multiple Endocrine Neoplasia Type 2a,C04.651.600.505,4.0
MONDO_0008234,multiple endocrine neoplasia type 2A,D018813,Multiple Endocrine Neoplasia Type 2a,C04.700.630.505,4.0
MONDO_0008315,prostate cancer,D011471,Prostatic Neoplasms,C04.588.945.440.770,5.0
MONDO_0008337,familial pterygium of the conjunctiva,C566740,,,
MONDO_0008380,retinoblastoma,D012175,Retinoblastoma,C04.557.465.625.600.725,6.0
MONDO_0008380,retinoblastoma,D012175,Retinoblastoma,C04.557.470.670.725,5.0
MONDO_0008380,retinoblastoma,D012175,Retinoblastoma,C04.557.580.625.600.725,6.0
MONDO_0008380,retinoblastoma,D012175,Retinoblastoma,C04.588.364.818.760,5.0
MONDO_0008387,ring dermoid of cornea,C535684,,,
MONDO_0008565,familial thyroglossal duct cyst,C536909,,,
MONDO_0008566,"thyroid cancer, nonmedullary, 2",C572845,,,
MONDO_0008627,ureter cancer,D014516,Ureteral Neoplasms,C04.588.945.947.940,5.0
MONDO_0008734,"adrenocortical carcinoma, hereditary",C565972,,,
MONDO_0008978,chordoma,D002817,Chordoma,C04.557.465.220,4.0
MONDO_0009227,"myofibromatosis, infantile, 1",C562978,,,
MONDO_0009330,"hemangiopericytoma, malignant",C562740,,,
MONDO_0009397,neonatal severe primary hyperparathyroidism,C563375,,,
MONDO_0009578,neurocutaneous melanocytosis,C537387,,,
MONDO_0009646,monosomy 7 myelodysplasia and leukemia syndrome 1,C565370,,,
MONDO_0009719,familial atrial myxoma,C538262,,,
MONDO_0009837,choroid plexus papilloma,D020288,"Papilloma, Choroid Plexus",C04.588.614.250.195.205.200.500,8.0
MONDO_0010127,"thymoma, familial",C564767,,,
MONDO_0010621,CHILD syndrome,C562515,,,
MONDO_0010768,gonadoblastoma,D018238,Gonadoblastoma,C04.557.465.420,4.0
MONDO_0010768,gonadoblastoma,D018238,Gonadoblastoma,C04.557.475.395,4.0
MONDO_0011121,pheochromocytoma/paraganglioma syndrome 2,C566646,,,
MONDO_0011191,capillary infantile hemangioma,C535860,,,
MONDO_0011260,"pancreatic lymphoma, familial",C566516,,,
MONDO_0011500,Becker nevus syndrome,C565735,,,
MONDO_0011544,pheochromocytoma/paraganglioma syndrome 3,C565335,,,
MONDO_0011576,familial hyperaldosteronism type II,C565312,,,
MONDO_0011578,familial papillary thyroid carcinoma with renal papillary neoplasia,C565310,,,
MONDO_0011705,lymphangioleiomyomatosis,D018192,Lymphangioleiomyomatosis,C04.557.375.460.465,5.0
MONDO_0011705,lymphangioleiomyomatosis,D018192,Lymphangioleiomyomatosis,C04.557.450.692.500,5.0
MONDO_0011719,gastrointestinal stromal tumor,D046152,Gastrointestinal Stromal Tumors,C04.557.450.565.370,5.0
MONDO_0011744,primary intraosseous venous malformation,C564648,,,
MONDO_0011789,familial meningioma,C537443,,,
MONDO_0011927,tufted angioma,C536924,,,
MONDO_0011934,dermatofibrosarcoma protuberans,D018223,Dermatofibrosarcoma,C04.557.450.565.590.350.320,7.0
MONDO_0011934,dermatofibrosarcoma protuberans,D018223,Dermatofibrosarcoma,C04.557.450.795.350.320,6.0
MONDO_0012249,Lynch syndrome 2,D055847,Lynch Syndrome II,C04.700.250.500,4.0
MONDO_0012252,rhabdoid tumor predisposition syndrome 1,C563738,,,
MONDO_0012502,normophosphatemic familial tumoral calcinosis,C566473,,,
MONDO_0012809,"histiocytoma, Angiomatoid fibrous",C563181,,,
MONDO_0012825,extraskeletal myxoid chondrosarcoma,C563195,,,
MONDO_0013038,CLOVES syndrome,C567863,,,
MONDO_0013074,encephalocraniocutaneous lipomatosis,C535736,,,
MONDO_0013196,Lynch syndrome 8,C567685,,,
MONDO_0013224,rhabdoid tumor predisposition syndrome 2,C567643,,,
MONDO_0013695,"colorectal cancer, hereditary nonpolyposis, type 6",C566039,,,
MONDO_0015196,vein of Galen aneurysm,C536535,,,
MONDO_0015278,familial pancreatic carcinoma,C535837,,,
MONDO_0015459,nasopharyngeal carcinoma,D000077274,Nasopharyngeal Carcinoma,C04.557.470.200.623,5.0
MONDO_0015459,nasopharyngeal carcinoma,D000077274,Nasopharyngeal Carcinoma,C04.588.443.665.710.650.500,7.0
MONDO_0015459,nasopharyngeal carcinoma,D00007727,,,
MONDO_0015459,nasopharyngeal carcinoma,C538339,,,
MONDO_0015523,epithelioid hemangioendothelioma,D018323,"Hemangioendothelioma, Epithelioid",C04.557.645.375.370.380,6.0
MONDO_0015528,congenital epulis,D005887,Gingival Neoplasms,C04.588.443.591.402,5.0
MONDO_0015748,hereditary mucosal leukokeratosis,D053529,,,
MONDO_0015758,primary cutaneous T-cell lymphoma,D016410,"Lymphoma, T-Cell, Cutaneous",C04.557.386.480.750.800,6.0
MONDO_0015760,T-cell non-Hodgkin lymphoma,D016399,"Lymphoma, T-Cell",C04.557.386.480.750,5.0
MONDO_0015798,inflammatory myofibroblastic tumor,D006104,,,
MONDO_0015935,extragonadal germinoma,D018237,Germinoma,C04.557.465.330,4.0
MONDO_0016236,kaposiform hemangioendothelioma,C537007,,,
MONDO_0016238,solitary fibrous tumor,D054364,Solitary Fibrous Tumors,C04.557.450.565.590.797,6.0
MONDO_0016238,solitary fibrous tumor,D006393,Hemangiopericytoma,C04.557.645.380,4.0
MONDO_0016419,hereditary breast carcinoma,C562840,,,
MONDO_0016611,lipoblastoma,D062689,Lipoblastoma,C04.557.450.550.400.500,6.0
MONDO_0016642,meningioma,D008579,Meningioma,C04.557.580.520,4.0
MONDO_0016642,meningioma,D008579,Meningioma,C04.557.645.520,4.0
MONDO_0016642,meningioma,D008579,Meningioma,C04.588.614.250.580.500,6.0
MONDO_0016718,choroid plexus carcinoma,C562943,,,
MONDO_0016730,gangliocytoma,D005729,Ganglioneuroma,C04.557.465.625.600.355,6.0
MONDO_0016730,gangliocytoma,D005729,Ganglioneuroma,C04.557.470.670.355,5.0
MONDO_0016730,gangliocytoma,D005729,Ganglioneuroma,C04.557.580.625.600.355,6.0
MONDO_0016748,hemangioblastoma,D018325,Hemangioblastoma,C04.557.645.375.380.370,6.0
MONDO_0016824,infantile myofibromatosis,D018224,Myofibromatosis,C04.557.450.565.590.550,6.0
MONDO_0017317,phakomatosis pigmentokeratotica,C537893,,,
MONDO_0017349,myopericytoma,D000077777,Myopericytoma,C04.557.450.565.545,5.0
MONDO_0017349,myopericytoma,D000077777,Myopericytoma,C04.557.645.380.500,5.0
MONDO_0017795,ameloblastoma,D000564,Ameloblastoma,C04.557.695.065,4.0
MONDO_0018079,thymic epithelial neoplasm,C536905,,,
MONDO_0018184,gastric linitis plastica,D008039,Linitis Plastica,C04.557.470.200.025.095.410,7.0
MONDO_0018327,glomus tumor,D005918,Glomus Tumor,C04.557.645.350,4.0
MONDO_0018364,malignant epithelial tumor of ovary,C538090,,,
MONDO_0018892,Wyburn-Mason syndrome,C536752,,,
MONDO_0018906,follicular lymphoma,D008224,"Lymphoma, Follicular",C04.557.386.480.350,5.0
MONDO_0018944,gestational trophoblastic neoplasm,D006828,Hydatidiform Mole,C04.557.465.955.416.812,6.0
MONDO_0018944,gestational trophoblastic neoplasm,D006828,Hydatidiform Mole,C04.850.908.416.750,5.0
MONDO_0019473,enteropathy-associated T-cell lymphoma,D058527,Enteropathy-Associated T-Cell Lymphoma,C04.557.386.480.750.099,6.0
MONDO_0019479,histiocytic sarcoma,D054747,Histiocytic Sarcoma,C04.557.227.380,4.0
MONDO_0019500,extragonadal teratoma,D013724,Teratoma,C04.557.465.910,4.0
MONDO_0020077,myelodysplastic/myeloproliferative disease,D054437,,,
MONDO_0020549,invasive hydatidiform mole,D002820,"Hydatidiform Mole, Invasive",C04.557.465.955.416.812.500,7.0
MONDO_0020549,invasive hydatidiform mole,D002820,"Hydatidiform Mole, Invasive",C04.850.908.416.750.500,6.0
MONDO_0020761,Bowen disease of the skin,D001913,Bowen's Disease,C04.557.470.200.400.130,6.0
MONDO_0020761,Bowen disease of the skin,D001913,Bowen's Disease,C04.557.470.700.400.130,6.0
MONDO_0021043,mixed neoplasm,D018193,"Neoplasms, Complex and Mixed",C04.557.435,3.0
MONDO_0021053,carotid body paraganglioma,D002345,Carotid Body Tumor,C04.557.465.625.650.700.705.220,8.0
MONDO_0021053,carotid body paraganglioma,D002345,Carotid Body Tumor,C04.557.580.625.650.700.705.220,8.0
MONDO_0021065,pleural neoplasm,D010997,Pleural Neoplasms,C04.588.894.797.640,5.0
MONDO_0021069,malignant endocrine neoplasm,D004701,Endocrine Gland Neoplasms,C04.588.322,3.0
MONDO_0021072,sympathetic paraganglioma,C531777,,,
MONDO_0021091,papillary cystadenoma,D018292,"Cystadenoma, Papillary",C04.557.470.035.320.230,6.0
MONDO_0021091,papillary cystadenoma,D018292,"Cystadenoma, Papillary",C04.557.470.590.485.230,6.0
MONDO_0021092,fallopian tube neoplasm,D005185,Fallopian Tube Neoplasms,C04.588.945.418.365,5.0
MONDO_0021117,lung neoplasm,D008175,Lung Neoplasms,C04.588.894.797.520,5.0
MONDO_0021121,hemangioendothelioma,D006390,Hemangioendothelioma,C04.557.645.375.370,5.0
MONDO_0021143,melanocytic neoplasm,D018326,Nevi and Melanomas,C04.557.665,3.0
MONDO_0021148,female reproductive system neoplasm,D005833,"Genital Neoplasms, Female",C04.588.945.418,4.0
MONDO_0021192,odontogenic neoplasm,D009808,Odontogenic Tumors,C04.557.695,3.0
MONDO_0021193,neuroepithelial neoplasm,D018302,"Neoplasms, Neuroepithelial",C04.557.465.625.600,5.0
MONDO_0021193,neuroepithelial neoplasm,D018302,"Neoplasms, Neuroepithelial",C04.557.470.670,4.0
MONDO_0021193,neuroepithelial neoplasm,D018302,"Neoplasms, Neuroepithelial",C04.557.580.625.600,5.0
MONDO_0021224,iris neoplasm,D015811,Iris Neoplasms,C04.588.364.978.400,5.0
MONDO_0021251,endometrium neoplasm,D016889,Endometrial Neoplasms,C04.588.945.418.948.585,6.0
MONDO_0021533,intestinal neuroendocrine tumor G1,C562842,,,
MONDO_0021545,myomatous neoplasm,D009379,"Neoplasms, Muscle Tissue",C04.557.450.590,4.0
MONDO_0021545,myomatous neoplasm,D019042,Muscle Neoplasms,C04.588.839.500,4.0
MONDO_0021581,connective tissue neoplasm,D009372,"Neoplasms, Connective Tissue",C04.557.450.565,4.0
MONDO_0021659,combined carcinoid and adenocarcinoma,C538230,,,
MONDO_0021662,bile duct neoplasm,D001650,Bile Duct Neoplasms,C04.588.274.120.250,5.0
MONDO_0021726,abdominal cystic lymphangioma,C535553,,,
MONDO_0022057,calcifying epithelial odontogenic tumor,C537961,,,
MONDO_0022096,pyogenic granuloma,D017789,,,
MONDO_0023119,familial myelofibrosis,C536848,,,
MONDO_0023283,ovarian granulosa cell tumor,C537296,,,
MONDO_0024503,digestive system neuroendocrine neoplasm,C535650,,,
MONDO_0024653,skull neoplasm,D012888,Skull Neoplasms,C04.588.149.721,4.0
MONDO_0024677,pancreatic insulinoma,D007340,Insulinoma,C04.557.470.035.100.852,6.0
MONDO_0024677,pancreatic insulinoma,D007340,Insulinoma,C04.588.274.761.249.500,6.0
MONDO_0024677,pancreatic insulinoma,D007340,Insulinoma,C04.588.322.475.249.500,6.0
MONDO_0024686,"tenosynovial giant cell tumor, diffuse type",D013586,"Synovitis, Pigmented Villonodular",C04.557.450.565.380.690.500,7.0
MONDO_0027026,Buschke Lowenstein tumor,D062688,Buschke-Lowenstein Tumor,C04.557.470.200.450.500,6.0
MONDO_0027026,Buschke Lowenstein tumor,D062688,Buschke-Lowenstein Tumor,C04.557.470.700.450.500,6.0
MONDO_0036591,adrenal cortex neoplasm,D000306,Adrenal Cortex Neoplasms,C04.588.322.078.265,5.0
MONDO_0036688,rhabdomyoma,D012207,Rhabdomyoma,C04.557.450.590.540.700,6.0
MONDO_0042487,uterine cervix carcinoma in situ,D018290,,,
MONDO_0042491,cervical squamous intraepithelial neoplasia,D065310,Squamous Intraepithelial Lesions of the Cervix,C04.834.818.500,4.0
MONDO_0044784,myxoma,D009232,Myxoma,C04.557.450.565.550,5.0
MONDO_0700275,"prostate cancer, hereditary",C537243,,,
MONDO_0800445,Birt-Hogg-Dube syndrome 1,D058249,Birt-Hogg-Dube Syndrome,C04.700.212,3.0
EFO_0000095,chronic lymphocytic leukemia,D015451,"Leukemia, Lymphocytic, Chronic, B-Cell",C04.557.337.428.080.125,6.0
EFO_0000174,Ewing sarcoma,D012512,"Sarcoma, Ewing",C04.557.450.565.575.650.800,7.0
EFO_0000174,Ewing sarcoma,D012512,"Sarcoma, Ewing",C04.557.450.795.620.800,6.0
EFO_0000181,head and neck squamous cell carcinoma,D000077195,Squamous Cell Carcinoma of Head and Neck,C04.557.470.200.400.565,6.0
EFO_0000181,head and neck squamous cell carcinoma,D000077195,Squamous Cell Carcinoma of Head and Neck,C04.588.443.177,4.0
EFO_0000181,head and neck squamous cell carcinoma,C535575,,,
EFO_0000182,hepatocellular carcinoma,D006528,"Carcinoma, Hepatocellular",C04.557.470.200.025.255,6.0
EFO_0000182,hepatocellular carcinoma,D006528,"Carcinoma, Hepatocellular",C04.588.274.623.160,5.0
EFO_0000183,Hodgkins lymphoma,D006689,Hodgkin Disease,C04.557.386.355,4.0
EFO_0000197,mucinous carcinoma,D002288,"Adenocarcinoma, Mucinous",C04.557.470.200.025.075,6.0
EFO_0000197,mucinous carcinoma,D002288,"Adenocarcinoma, Mucinous",C04.557.470.590.075,5.0
EFO_0000200,plasma cell neoplasm,D054219,"Neoplasms, Plasma Cell",C04.557.595,3.0
