mesh_id,mesh_name,tree_number,level
D000077216,"Carcinoma, Ovarian Epithelial",C04.588.322.455.199,5
D006106,Granulosa Cell Tumor,C04.588.322.455.398,5
D061325,Hereditary Breast and Ovarian Cancer Syndrome,C04.588.322.455.431,5
D018311,Luteoma,C04.588.322.455.464,5
D008539,Meigs Syndrome,C04.588.322.455.531,5
D018310,Sertoli-Leydig Cell Tumor,C04.588.322.455.648,5
D013798,Thecoma,C04.588.322.455.765,5
D010190,Pancreatic Neoplasms,C04.588.322.475,4
D007516,"Adenoma, Islet Cell",C04.588.322.475.249,5
D007340,Insulinoma,C04.588.322.475.249.500,6
D018273,"Carcinoma, Islet Cell",C04.588.322.475.500,5
D015408,Gastrinoma,C04.588.322.475.500.124,6
D005935,Glucagonoma,C04.588.322.475.500.249,6
D013005,Somatostatinoma,C04.588.322.475.500.500,6
D003969,Vipoma,C04.588.322.475.500.750,6
D021441,"Carcinoma, Pancreatic Ductal",C04.588.322.475.750,5
D000077779,Pancreatic Intraductal Neoplasms,C04.588.322.475.875,5
D009384,Paraneoplastic Endocrine Syndromes,C04.588.322.490,4
D010282,Parathyroid Neoplasms,C04.588.322.525,4
D010911,Pituitary Neoplasms,C04.588.322.609,4
D049913,ACTH-Secreting Pituitary Adenoma,C04.588.322.609.145,5
D009347,Nelson Syndrome,C04.588.322.609.145.500,6
D049912,Growth Hormone-Secreting Pituitary Adenoma,C04.588.322.609.292,5
D015175,Prolactinoma,C04.588.322.609.792,5
D013736,Testicular Neoplasms,C04.588.322.762,4
D018310,Sertoli-Leydig Cell Tumor,C04.588.322.762.500,5
D007984,Leydig Cell Tumor,C04.588.322.762.500.249,6
D012707,Sertoli Cell Tumor,C04.588.322.762.500.500,6
D013964,Thyroid Neoplasms,C04.588.322.894,4
D000077273,"Thyroid Cancer, Papillary",C04.588.322.894.400,5
D016606,Thyroid Nodule,C04.588.322.894.800,5
D005134,Eye Neoplasms,C04.588.364,3
D003230,Conjunctival Neoplasms,C04.588.364.235,4
D064090,Intraocular Lymphoma,C04.588.364.447,4
D009918,Orbital Neoplasms,C04.588.364.659,4
D059545,"Paraneoplastic Syndromes, Ocular",C04.588.364.738,4
D019572,Retinal Neoplasms,C04.588.364.818,4
D012175,Retinoblastoma,C04.588.364.818.760,5
D014604,Uveal Neoplasms,C04.588.364.978,4
D002830,Choroid Neoplasms,C04.588.364.978.223,5
D000098943,Uveal Melanoma,C04.588.364.978.312,5
D015811,Iris Neoplasms,C04.588.364.978.400,5
D006258,Head and Neck Neoplasms,C04.588.443,3
D000077195,Squamous Cell Carcinoma of Head and Neck,C04.588.443.177,4
D004938,Esophageal Neoplasms,C04.588.443.353,4
D000077277,Esophageal Squamous Cell Carcinoma,C04.588.443.353.500,5
D005153,Facial Neoplasms,C04.588.443.392,4
D005142,Eyelid Neoplasms,C04.588.443.392.500,5
D009062,Mouth Neoplasms,C04.588.443.591,4
D005887,Gingival Neoplasms,C04.588.443.591.402,5
D007972,"Leukoplakia, Oral",C04.588.443.591.545,5
D017733,"Leukoplakia, Hairy",C04.588.443.591.545.500,6
D008048,Lip Neoplasms,C04.588.443.591.550,5
D010157,Palatal Neoplasms,C04.588.443.591.692,5
D012468,Salivary Gland Neoplasms,C04.588.443.591.824,5
D010307,Parotid Neoplasms,C04.588.443.591.824.695,6
D013362,Sublingual Gland Neoplasms,C04.588.443.591.824.882,6
D013365,Submandibular Gland Neoplasms,C04.588.443.591.824.885,6
D014062,Tongue Neoplasms,C04.588.443.591.925,5
D010039,Otorhinolaryngologic Neoplasms,C04.588.443.665,4
D004428,Ear Neoplasms,C04.588.443.665.312,5
D007822,Laryngeal Neoplasms,C04.588.443.665.481,5
D009669,Nose Neoplasms,C04.588.443.665.650,5
D010255,Paranasal Sinus Neoplasms,C04.588.443.665.650.693,6
D008444,Maxillary Sinus Neoplasms,C04.588.443.665.650.693.575,7
D010610,Pharyngeal Neoplasms,C04.588.443.665.710,5
D007012,Hypopharyngeal Neoplasms,C04.588.443.665.710.485,6
D009303,Nasopharyngeal Neoplasms,C04.588.443.665.710.650,6
D000077274,Nasopharyngeal Carcinoma,C04.588.443.665.710.650.500,7
D009959,Oropharyngeal Neoplasms,C04.588.443.665.710.684,6
D014067,Tonsillar Neoplasms,C04.588.443.665.710.684.800,7
D010282,Parathyroid Neoplasms,C04.588.443.680,4
D013964,Thyroid Neoplasms,C04.588.443.915,4
D000077273,"Thyroid Cancer, Papillary",C04.588.443.915.400,5
D016606,Thyroid Nodule,C04.588.443.915.800,5
D014134,Tracheal Neoplasms,C04.588.443.925,4
D019337,Hematologic Neoplasms,C04.588.448,3
D000099067,Blastic Plasmacytoid Dendritic Cell Neoplasm,C04.588.448.001,4
D019046,Bone Marrow Neoplasms,C04.588.448.200,4
D011087,Polycythemia Vera,C04.588.448.200.500,5
D015674,"Mammary Neoplasms, Animal",C04.588.531,3
D008325,"Mammary Neoplasms, Experimental",C04.588.531.500,4
D009423,Nervous System Neoplasms,C04.588.614,3
D016543,Central Nervous System Neoplasms,C04.588.614.250,4
D001932,Brain Neoplasms,C04.588.614.250.195,5
D002551,Cerebral Ventricle Neoplasms,C04.588.614.250.195.205,6
D016545,Choroid Plexus Neoplasms,C04.588.614.250.195.205.200,7
D020288,"Papilloma, Choroid Plexus",C04.588.614.250.195.205.200.500,8
D015192,Infratentorial Neoplasms,C04.588.614.250.195.411,6
D020295,Brain Stem Neoplasms,C04.588.614.250.195.411.100,7
D000080443,Diffuse Intrinsic Pontine Glioma,C04.588.614.250.195.411.100.500,8
D002528,Cerebellar Neoplasms,C04.588.614.250.195.411.211,7
D018306,Neurocytoma,C04.588.614.250.195.648,6
D010871,Pinealoma,C04.588.614.250.195.766,6
D015173,Supratentorial Neoplasms,C04.588.614.250.195.885,6
D007029,Hypothalamic Neoplasms,C04.588.614.250.195.885.500,7
D054975,Pallister-Hall Syndrome,C04.588.614.250.195.885.500.299,8
D010911,Pituitary Neoplasms,C04.588.614.250.195.885.500.600,8
D020863,Central Nervous System Cysts,C04.588.614.250.387,5
D016080,Arachnoid Cysts,C04.588.614.250.387.100,6
D056364,Colloid Cysts,C04.588.614.250.387.200,6
D008577,Meningeal Neoplasms,C04.588.614.250.580,5
D055756,Meningeal Carcinomatosis,C04.588.614.250.580.150,6
D008579,Meningioma,C04.588.614.250.580.500,6
D013120,Spinal Cord Neoplasms,C04.588.614.250.803,5
D015174,Epidural Neoplasms,C04.588.614.250.803.342,6
D003390,Cranial Nerve Neoplasms,C04.588.614.300,4
D009464,"Neuroma, Acoustic",C04.588.614.300.015,5
D019574,Optic Nerve Neoplasms,C04.588.614.300.600,5
D020339,Optic Nerve Glioma,C04.588.614.300.600.600,6
D020361,"Paraneoplastic Syndromes, Nervous System",C04.588.614.550,4
D060426,Anti-N-Methyl-D-Aspartate Receptor Encephalitis,C04.588.614.550.112,5
D020363,Limbic Encephalitis,C04.588.614.550.450,5
D009157,Myasthenia Gravis,C04.588.614.550.500,5
D015624,Lambert-Eaton Myasthenic Syndrome,C04.588.614.550.500.225,6
D009188,"Myelitis, Transverse",C04.588.614.550.550,5
D053578,Opsoclonus-Myoclonus Syndrome,C04.588.614.550.600,5
D020362,Paraneoplastic Cerebellar Degeneration,C04.588.614.550.650,5
D020364,Paraneoplastic Polyneuropathy,C04.588.614.550.700,5
D010524,Peripheral Nervous System Neoplasms,C04.588.614.596,4
D003390,Cranial Nerve Neoplasms,C04.588.614.596.240,5
D009464,"Neuroma, Acoustic",C04.588.614.596.240.015,6
D019574,Optic Nerve Neoplasms,C04.588.614.596.240.240,6
D020339,Optic Nerve Glioma,C04.588.614.596.240.240.500,7
D010386,Pelvic Neoplasms,C04.588.699,3
D012878,Skin Neoplasms,C04.588.805,3
D049309,Acanthoma,C04.588.805.040,4
D000099067,Blastic Plasmacytoid Dendritic Cell Neoplasm,C04.588.805.175,4
D034701,"Mastocytosis, Cutaneous",C04.588.805.309,4
D054705,"Mastocytoma, Skin",C04.588.805.309.500,5
D014582,Urticaria Pigmentosa,C04.588.805.309.850,5
D008545,Melanoma,C04.588.805.377,4
D000096142,"Melanoma, Cutaneous Malignant",C04.588.805.444,4
D012626,Sebaceous Gland Neoplasms,C04.588.805.578,4
D055653,Muir-Torre Syndrome,C04.588.805.578.500,5
D013544,Sweat Gland Neoplasms,C04.588.805.776,4
D012983,Soft Tissue Neoplasms,C04.588.839,3
D019042,Muscle Neoplasms,C04.588.839.500,4
D019043,Vascular Neoplasms,C04.588.839.750,4
D013160,Splenic Neoplasms,C04.588.842,3
D013899,Thoracic Neoplasms,C04.588.894,3
D006338,Heart Neoplasms,C04.588.894.309,4
D000084122,Cardiac Papillary Fibroelastoma,C04.588.894.309.250,5
D056733,Carney Complex,C04.588.894.309.500,5
D008479,Mediastinal Neoplasms,C04.588.894.479,4
D012142,Respiratory Tract Neoplasms,C04.588.894.797,4
D008175,Lung Neoplasms,C04.588.894.797.520,5
D000077192,Adenocarcinoma of Lung,C04.588.894.797.520.055,6
D002282,"Adenocarcinoma, Bronchiolo-Alveolar",C04.588.894.797.520.055.500,7
D001984,Bronchial Neoplasms,C04.588.894.797.520.109,6
D002283,"Carcinoma, Bronchogenic",C04.588.894.797.520.109.220,7
D002289,"Carcinoma, Non-Small-Cell Lung",C04.588.894.797.520.109.220.249,8
D055752,Small Cell Lung Carcinoma,C04.588.894.797.520.109.220.624,8
D000086002,"Mesothelioma, Malignant",C04.588.894.797.520.173,6
D055613,Multiple Pulmonary Nodules,C04.588.894.797.520.237,6
D010178,Pancoast Syndrome,C04.588.894.797.520.734,6
D018202,Pulmonary Blastoma,C04.588.894.797.520.867,6
D047868,Pulmonary Sclerosing Hemangioma,C04.588.894.797.520.933,6
D010997,Pleural Neoplasms,C04.588.894.797.640,5
D000086002,"Mesothelioma, Malignant",C04.588.894.797.640.350,6
D016066,"Pleural Effusion, Malignant",C04.588.894.797.640.700,6
D054363,"Solitary Fibrous Tumor, Pleural",C04.588.894.797.640.800,6
D014134,Tracheal Neoplasms,C04.588.894.797.760,5
D013953,Thymus Neoplasms,C04.588.894.949,4
D013945,Thymoma,C04.588.894.949.500,5
D014565,Urogenital Neoplasms,C04.588.945,3
D005833,"Genital Neoplasms, Female",C04.588.945.418,4
D005185,Fallopian Tube Neoplasms,C04.588.945.418.365,5
D014594,Uterine Neoplasms,C04.588.945.418.948,5
D016889,Endometrial Neoplasms,C04.588.945.418.948.585,6
D018269,"Carcinoma, Endometrioid",C04.588.945.418.948.585.124,7
D002583,Uterine Cervical Neoplasms,C04.588.945.418.948.850,6
D014625,Vaginal Neoplasms,C04.588.945.418.955,5
D014846,Vulvar Neoplasms,C04.588.945.418.968,5
D005834,"Genital Neoplasms, Male",C04.588.945.440,4
D010412,Penile Neoplasms,C04.588.945.440.715,5
D011471,Prostatic Neoplasms,C04.588.945.440.770,5
D064129,"Prostatic Neoplasms, Castration-Resistant",C04.588.945.440.770.500,6
D013736,Testicular Neoplasms,C04.588.945.440.915,5
D018310,Sertoli-Leydig Cell Tumor,C04.588.945.440.915.500,6
D007984,Leydig Cell Tumor,C04.588.945.440.915.500.249,7
D012707,Sertoli Cell Tumor,C04.588.945.440.915.500.500,7
D014571,Urologic Neoplasms,C04.588.945.947,4
D007680,Kidney Neoplasms,C04.588.945.947.535,5
D002292,"Carcinoma, Renal Cell",C04.588.945.947.535.160,6
D009396,Wilms Tumor,C04.588.945.947.535.585,6
D030321,Denys-Drash Syndrome,C04.588.945.947.535.585.220,7
D017624,WAGR Syndrome,C04.588.945.947.535.585.950,7
D018201,"Nephroma, Mesoblastic",C04.588.945.947.535.790,6
D014516,Ureteral Neoplasms,C04.588.945.947.940,5
D014523,Urethral Neoplasms,C04.588.945.947.945,5
D001749,Urinary Bladder Neoplasms,C04.588.945.947.960,5
D000093284,Non-Muscle Invasive Bladder Neoplasms,C04.588.945.947.960.500,6
D014685,"Venereal Tumors, Veterinary",C04.588.945.956,4
